,nb_films,pays,popularity,ratio,score
0,46015,États-Unis,6.577996609801152,1.0,6.577996609801152
3,9708,Royaume-Uni,6.51046477132262,1.0,6.51046477132262
41,660,Irlande,7.07854696969697,0.8696413129950538,6.155796880824432
12,2469,Corée du Sud,5.146205346294046,1.0,5.146205346294046
8,4860,Canada,4.882861934156378,1.0,4.882861934156378
20,1722,Australie,4.764636469221835,1.0,4.764636469221835
22,1593,Belgique,4.655846829880728,1.0,4.655846829880728
4,8526,Japon,4.6470037532254285,1.0,4.6470037532254285
16,2052,Chine,4.584132066276803,1.0,4.584132066276803
50,353,Nouvelle-Zélande,8.130589235127479,0.5581566416473545,4.538142382092886
7,5480,Espagne,4.333420620437956,1.0,4.333420620437956
1,11799,France,4.041585219086363,1.0,4.041585219086363
30,993,Norvège,3.582311178247734,1.0,3.582311178247734
9,3539,Hong Kong,3.50858293303193,1.0,3.50858293303193
23,1502,Pays-Bas,3.3385246338215713,1.0,3.3385246338215713
