,0
5099,The Birds - 1963
8589,True Grit - 1969
11230,Mary Poppins - 1964
12761,Satanico Pandemonium: La Sexorcista - 1975
13736,Annie - 1982
14301,Identity - 2003
14304,Knight and Day - 2010
14306,Indiana Jones and the Dial of Destiny - 2023
14307,Ford v Ferrari - 2019
14308,Logan - 2017
14567,Von Ryan's Express - 1965
14815,Yôjinbô - 1961
15263,Conan the Destroyer - 1984
15366,Lawrence of Arabia - 1962
15943,The Great Escape - 1963
16693,Dr. No - 1962
16694,From Russia with Love - 1963
16696,Thunderball - 1965
17745,Lolita - 1962
17746,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb - 1964
17747,2001: A Space Odyssey - 1968
17748,A Clockwork Orange - 1971
17750,The Shining - 1980
17751,Full Metal Jacket - 1987
17752,Eyes Wide Shut - 1999
18034,You Only Live Twice - 1967
18041,Moonraker - 1979
18396,The Towering Inferno - 1974
18397,King Kong - 1976
18745,Sessomatto - 1973
19100,Death Wish - 1974
19132,La llamada del sexo - 1977
19211,Goldfinger - 1964
19216,Diamonds Are Forever - 1971
19218,The Man with the Golden Gun - 1974
20440,The Pink Panther - 1963
20819,Rosemary's Baby - 1968
20822,Chinatown - 1974
20827,Bitter Moon - 1992
20830,The Pianist - 2002
21280,Hang 'Em High - 1968
21284,Magnum Force - 1973
21553,Romeo and Juliet - 1968
22190,Le journal intime d'une nymphomane - 1973
22328,Le souffle au coeur - 1971
22332,Pretty Baby - 1978
22339,Damage - 1992
22574,First Blood - 1982
22815,Star Wars: Episode V - The Empire Strikes Back - 1980
22817,RoboCop 2 - 1990
22882,Contes immoraux - 1973
22940,Ai no korîda - 1976
23415,Jaws - 1975
23418,Raiders of the Lost Ark - 1981
23419,E.T. the Extra-Terrestrial - 1982
23420,Indiana Jones and the Temple of Doom - 1984
23424,Indiana Jones and the Last Crusade - 1989
23425,Hook - 1991
23426,Jurassic Park - 1993
23427,Schindler's List - 1993
23430,Saving Private Ryan - 1998
23431,Minority Report - 2002
23432,A.I. Artificial Intelligence - 2001
23433,Catch Me If You Can - 2002
23434,The Terminal - 2004
23435,Indiana Jones and the Kingdom of the Crystal Skull - 2008
23436,War of the Worlds - 2005
23439,The Adventures of Tintin - 2011
23440,The Fabelmans - 2022
23441,War Horse - 2011
23442,Ready Player One - 2018
23443,West Side Story - 2021
23445,The BFG - 2016
23519,Seppuku - 1962
23644,Taxi Driver - 1976
23648,Raging Bull - 1980
23653,Goodfellas - 1990
23656,Casino - 1995
23660,Gangs of New York - 2002
23662,The Departed - 2006
23663,Silence - 2016
23665,Hugo - 2011
23666,The Wolf of Wall Street - 2013
23667,Shutter Island - 2010
23668,The Irishman - 2019
23856,La carne - 1991
23911,Gojira · Ebira · Mosura Nankai no daikettô - 1966
24028,RoboCop - 1987
24029,Total Recall - 1990
24030,Basic Instinct - 1992
24031,Showgirls - 1995
24032,Starship Troopers - 1997
24033,Hollow Man - 2000
24037,Benedetta - 2021
24207,La grande vadrouille - 1966
24223,Willy Wonka & the Chocolate Factory - 1971
24319,La voglia matta - 1962
24592,Salò o le 120 giornate di Sodoma - 1975
24711,Kozure Ôkami: Sanzu no kawa no ubaguruma - 1972
24776,"Il buono, il brutto, il cattivo - 1966"
24777,C'era una volta il West - 1968
24779,Once Upon a Time in America - 1984
24973,The Three Musketeers - 1973
25220,The Amityville Horror - 1979
25413,Superman - 1978
25416,The Goonies - 1985
25418,Lethal Weapon - 1987
25420,Lethal Weapon 2 - 1989
25425,Lethal Weapon 4 - 1998
25427,16 Blocks - 2006
25573,The Dreamers - 2003
25677,Candy - 1968
25688,Bloodsport - 1988
25851,Butch Cassidy and the Sundance Kid - 1969
25900,Halloween - 1978
25903,The Thing - 1982
25906,Big Trouble in Little China - 1986
26143,One Flew Over the Cuckoo's Nest - 1975
26146,Amadeus - 1984
26180,The Godfather - 1972
26182,The Godfather Part II - 1974
26183,Apocalypse Now - 1979
26185,The Outsiders - 1983
26191,The Godfather Part III - 1990
26192,Bram Stoker's Dracula - 1992
26574,Planet of the Apes - 1968
26874,Nerosubianco - 1969
26878,Caligola - 1979
26879,La chiave - 1983
26882,Paprika - 1991
26883,Così fan tutte - 1992
26884,L'uomo che guarda - 1994
26885,Fermo posta Tinto Brass - 1995
26887,Monella - 1998
26888,Tra(sgre)dire - 2000
27117,Hairspray - 1988
27877,Bôgyaku onna gômon - 1978
27925,American Graffiti - 1973
27926,Star Wars - 1977
27927,Star Wars: Episode I - The Phantom Menace - 1999
27928,Star Wars: Episode II - Attack of the Clones - 2002
27929,Star Wars: Episode III - Revenge of the Sith - 2005
28104,Eo - 2022
28161,Jeremiah Johnson - 1972
28471,Return to the Blue Lagoon - 1991
28608,Die Blechtrommel - 1979
28858,The Fly - 1986
28904,Closer - 2004
28908,The Jungle Book - 1967
28909,The AristoCats - 1970
29010,Il mio nome è Nessuno - 1973
29267,The Exorcist - 1973
29470,The Italian Job - 1969
29817,Dune - 1984
29823,Mulholland Dr. - 2001
30024,Cannibal Holocaust - 1980
30181,Malizia - 1973
30199,Carrie - 1976
30205,Scarface - 1983
30213,Mission: Impossible - 1996
30379,The Changeling - 1980
30409,Night of the Living Dead - 1968
30412,Dawn of the Dead - 1978
30421,Land of the Dead - 2005
30491,Spaceballs - 1987
30597,L'iniziazione - 1986
30656,The Deep End of the Ocean - 1999
30662,Omohide poro poro - 1991
30663,Heisei tanuki gassen ponpoko - 1994
30888,How the Grinch Stole Christmas - 2000
30889,A Beautiful Mind - 2001
30892,The Da Vinci Code - 2006
30893,Angels & Demons - 2009
30896,Thirteen Lives - 2022
30899,Rush - 2013
30902,Inferno - 2016
30903,Solo: A Star Wars Story - 2018
31037,Footloose - 1984
31073,Das Boot - 1981
